Date,Payment_Sum,Payment_Count,Month,Year
2013-08-01,233819730.22,864632,8,2013
2013-09-01,165770955.93,853946,9,2013
2013-10-01,195392522.71000004,992700,10,2013
2013-11-01,258734781.39999998,827139,11,2013
2013-12-01,162882788.52000004,633790,12,2013
2014-01-01,171922076.26000002,824825,1,2014
2014-02-01,264102216.55999994,919479,2,2014
2014-03-01,204674206.47000003,1028689,3,2014
2014-04-01,186313615.24999994,1042354,4,2014
2014-05-01,301511775.11,1025679,5,2014
2014-06-01,163462146.39000002,948295,6,2014
2014-07-01,164351831.79,908210,7,2014
2014-08-01,291537532.77,896003,8,2014
2014-09-01,168613062.35,1000061,9,2014
2014-10-01,194504289.00000003,1084059,10,2014
2014-11-01,286363002.26,880266,11,2014
2014-12-01,303016867.81999993,760858,12,2014
2015-01-01,197186031.85000002,824191,1,2015
2015-02-01,288809764.12,962047,2,2015
2015-03-01,203166760.04000002,1098630,3,2015
2015-04-01,230149690.77,1066106,4,2015
2015-05-01,293364962.6,980600,5,2015
2015-06-01,192029700.89999998,998775,6,2015
2015-07-01,161659409.61000004,904102,7,2015
2015-08-01,296283033.8999999,940085,8,2015
2015-09-01,199868479.05000004,1008609,9,2015
2015-10-01,199222208.94,1072451,10,2015
2015-11-01,303343954.7800001,925105,11,2015
2015-12-01,174255197.39000002,780803,12,2015
2016-01-01,189004563.41000006,866929,1,2016
2016-02-01,310780218.25000006,1039143,2,2016
2016-03-01,212369463.91999996,1098970,3,2016
2016-04-01,278343367.87,1073481,4,2016
2016-05-01,343172042.6799999,1061857,5,2016
2016-06-01,200599979.32000002,1026689,6,2016
2016-07-01,175660638.89,832193,7,2016
2016-08-01,312541491.01000005,1030815,8,2016
2016-09-01,175584212.17000002,992049,9,2016
2016-10-01,193004164.56000003,996873,10,2016
2016-11-01,335458891.1400001,960883,11,2016
2016-12-01,180156337.74,717313,12,2016
2017-01-01,180381438.9,854054,1,2017
2017-02-01,225140681.89,958531,2,2017
2017-03-01,299260676.93999994,1097733,3,2017
2017-04-01,188697155.53,975151,4,2017
2017-05-01,359311392.2600001,1083391,5,2017
2017-06-01,188295429.53999996,1000608,6,2017
2017-07-01,185503309.14000002,799953,7,2017
2017-08-01,344166681.6399999,1008338,8,2017
2017-09-01,158055563.33,916284,9,2017
2017-10-01,203420665.51000002,1050406,10,2017
2017-11-01,394280365.2000001,961492,11,2017
2017-12-01,212876502.94000006,689466,12,2017
2018-01-01,164750879.39000002,829337,1,2018
2018-02-01,232957231.72999996,897383,2,2018
2018-03-01,300401317.87,988732,3,2018
2018-04-01,203042677.16000003,990779,4,2018
2018-05-01,382539592.47999996,1033324,5,2018
2018-06-01,170847581.09999996,899672,6,2018
2018-07-01,179937231.22000003,803497,7,2018
2018-08-01,346779806.64000005,963673,8,2018
2018-09-01,165327293.93999994,886916,9,2018
2018-10-01,270205716.27,1027915,10,2018
2018-11-01,379138294.66999996,906525,11,2018
2018-12-01,263828974.92,670097,12,2018
2019-01-01,234153368.29,813445,1,2019
2019-02-01,362051918.2399999,874144,2,2019
2019-03-01,218189586.57000002,928521,3,2019
2019-04-01,408254833.7299999,928615,4,2019
2019-05-01,405162447.35,964562,5,2019
2019-06-01,192625920.09000003,859530,6,2019
2019-07-01,175913145.18,793433,7,2019
2019-08-01,301980891.58,875519,8,2019
2019-09-01,173176724.07000002,859238,9,2019
2019-10-01,286775313.06,1005197,10,2019
2019-11-01,621655412.65,831019,11,2019
2019-12-01,183657306.50000003,634084,12,2019
