,State,Payment_Sum,Payment_Count,Payment_Mean,Year,Pop,Name,Sum_per_10000,Count_per_10000,Mean_pc,state,id
1,AK,787942.71,9544,82.56,2014,736283,Alaska,10701.63,129.62,1.12,Alaska,2
8,AL,20842724.6,212423,98.12,2014,4841799,Alabama,43047.48,438.73,0.2,Alabama,1
15,AR,8272958.65,106445,77.72,2014,2967392,Arkansas,27879.56,358.72,0.26,Arkansas,5
22,AZ,82417345.28,232045,355.18,2014,6730413,Arizona,122455.11,344.77,0.53,Arizona,4
29,CA,603829045.85,1153710,523.38,2014,38596972,California,156444.67,298.91,0.14,California,6
36,CO,61931917.13,131022,472.68,2014,5350101,Colorado,115758.41,244.9,0.88,Colorado,8
43,CT,28995627.3,193021,150.22,2014,3594524,Connecticut,80666.11,536.99,0.42,Connecticut,9
50,DC,15917345.49,41081,387.46,2014,662328,District of Columbia,240324.21,620.25,5.85,District of Columbia,11
57,DE,3774147.16,39390,95.81,2014,932487,Delaware,40473.99,422.42,1.03,Delaware,10
64,FL,140984542.06,835966,168.65,2014,19845911,Florida,71039.59,421.23,0.08,Florida,12
71,GA,81817932.3,341728,239.42,2014,10067278,Georgia,81271.16,339.44,0.24,Georgia,13
78,HI,4459751.61,44843,99.45,2014,1414538,Hawaii,31527.97,317.02,0.7,Hawaii,15
85,IA,13469944.77,65124,206.84,2014,3109350,Iowa,43320.77,209.45,0.67,Iowa,19
92,ID,5535496.1,36593,151.27,2014,1631112,Idaho,33936.95,224.34,0.93,Idaho,16
99,IL,83147459.37,461134,180.31,2014,12884493,Illinois,64532.97,357.9,0.14,Illinois,17
106,IN,37356702.83,275683,135.51,2014,6593644,Indiana,56655.63,418.1,0.21,Indiana,18
113,KS,10877117.58,101265,107.41,2014,2900475,Kansas,37501.16,349.13,0.37,Kansas,20
120,KY,23384007.74,197296,118.52,2014,4414349,Kentucky,52972.72,446.94,0.27,Kentucky,21
127,LA,19644939.93,209138,93.93,2014,4644013,Louisiana,42301.65,450.34,0.2,Louisiana,22
134,MA,134268243.5,180858,742.4,2014,6762596,Massachusetts,198545.42,267.44,1.1,Massachusetts,25
141,MD,46155316.69,234598,196.74,2014,5957283,Maryland,77477.13,393.8,0.33,Maryland,24
148,ME,4718975.66,25364,186.05,2014,1330513,Maine,35467.34,190.63,1.4,Maine,23
155,MI,58282970.32,380551,153.15,2014,9929848,Michigan,58694.73,383.24,0.15,Michigan,26
162,MN,36751965.47,45982,799.27,2014,5451079,Minnesota,67421.45,84.35,1.47,Minnesota,27
169,MO,59031254.11,250829,235.34,2014,6056202,Missouri,97472.4,414.17,0.39,Missouri,29
176,MS,11004918.96,115476,95.3,2014,2990468,Mississippi,36799.99,386.15,0.32,Mississippi,28
183,MT,5571809.3,15943,349.48,2014,1021869,Montana,54525.67,156.02,3.42,Montana,30
190,NC,69974618.28,356535,196.26,2014,9932887,North Carolina,70447.41,358.94,0.2,North Carolina,37
197,ND,1791492.1,16160,110.86,2014,737401,North Dakota,24294.68,219.15,1.5,North Dakota,38
204,NE,8868412.44,63552,139.55,2014,1879321,Nebraska,47189.45,338.16,0.74,Nebraska,31
211,NH,6263446.95,23987,261.12,2014,1333341,New Hampshire,46975.58,179.9,1.96,New Hampshire,33
218,NJ,56038679.6,458582,122.2,2014,8864525,New Jersey,63216.79,517.32,0.14,New Jersey,34
225,NM,4401868.75,37587,117.11,2014,2089568,New Mexico,21065.93,179.88,0.56,New Mexico,35
232,NV,18365892.88,90898,202.05,2014,2817628,Nevada,65182.11,322.6,0.72,Nevada,32
239,NY,222597436.97,829291,268.42,2014,19651049,New York,113275.09,422.01,0.14,New York,36
246,OH,90783370.06,496334,182.91,2014,11602700,Ohio,78243.31,427.77,0.16,Ohio,39
253,OK,18567744.2,141066,131.62,2014,3878187,Oklahoma,47877.38,363.74,0.34,Oklahoma,40
260,OR,17061445.0,68258,249.96,2014,3963244,Oregon,43049.19,172.23,0.63,Oregon,41
267,PA,109259893.43,587654,185.93,2014,12788313,Pennsylvania,85437.3,459.52,0.15,Pennsylvania,42
274,RI,6978857.76,46260,150.86,2014,1055936,Rhode Island,66091.67,438.09,1.43,Rhode Island,44
281,SC,20356426.98,194080,104.89,2014,4823617,South Carolina,42201.58,402.35,0.22,South Carolina,45
288,SD,3273237.15,17687,185.06,2014,849129,South Dakota,38548.17,208.3,2.18,South Dakota,46
295,TN,90740836.39,279669,324.46,2014,6541223,Tennessee,138721.51,427.55,0.5,Tennessee,47
302,TX,183996346.01,938641,196.02,2014,26964333,Texas,68236.94,348.1,0.07,Texas,48
309,UT,25753559.23,75845,339.56,2014,2936879,Utah,87690.23,258.25,1.16,Utah,49
316,VA,42837588.21,270427,158.41,2014,8310993,Virginia,51543.29,325.38,0.19,Virginia,51
323,VT,1769080.38,2201,803.76,2014,625214,Vermont,28295.6,35.2,12.86,Vermont,50
330,WA,60978933.84,141111,432.13,2014,7054655,Washington,86437.87,200.03,0.61,Washington,53
337,WI,20784499.76,90918,228.61,2014,5751525,Wisconsin,36137.37,158.08,0.4,Wisconsin,55
344,WV,6276871.66,81815,76.72,2014,1849489,West Virginia,33938.41,442.37,0.41,West Virginia,54
351,WY,1455658.57,6825,213.28,2014,582531,Wyoming,24988.52,117.16,3.66,Wyoming,56
