Form,Payment_Sum,Payment_Count,Payment_Mean,Year
Cash or cash equivalent,830628963.3,870612,954.07,2013
"Dividend, profit or other return on investment",8896204.26,135,65897.81,2013
In-kind items and services,166455896.61,3301312,50.42,2013
"Stock, stock option, or any other ownership interest",10589280.05,146,72529.32,2013
NA,0.0,0,,2013
Cash or cash equivalent,2185731540.94,2058127,1062.0,2014
"Dividend, profit or other return on investment",43287833.75,387,111854.87,2014
In-kind items and services,420777983.23,9259565,45.44,2014
"Stock, stock option, or any other ownership interest",50503086.56,356,141862.6,2014
NA,0.0,0,,2014
Cash or cash equivalent,2285097940.87,1992621,1146.78,2015
"Dividend, profit or other return on investment",17487531.19,406,43072.74,2015
In-kind items and services,422715673.2,9568609,44.18,2015
"Stock, stock option, or any other ownership interest",14170544.95,260,54502.1,2015
NA,0.0,0,,2015
Any other ownership interest,1256306.77,107,11741.18,2016
Cash or cash equivalent,2411029274.27,1936046,1245.34,2016
"Dividend, profit or other return on investment",20105530.19,320,62829.78,2016
In-kind items and services,450654018.63,9760477,46.17,2016
Stock,9566538.45,111,86185.03,2016
Stock option,14050191.31,105,133811.35,2016
NA,0.0,0,,2016
Any other ownership interest,1400026.57,119,11764.93,2017
Cash or cash equivalent,2467440367.94,1780180,1386.06,2017
"Dividend, profit or other return on investment",7502051.18,487,15404.62,2017
In-kind items and services,445467382.1,9614387,46.33,2017
Stock,6638981.47,156,42557.57,2017
Stock option,10941053.59,78,140269.92,2017
NA,0.0,0,,2017
Any other ownership interest,2619530.67,14,187109.33,2018
Cash or cash equivalent,2484599864.53,1612419,1540.91,2018
"Dividend, profit or other return on investment",26550547.88,281,94485.94,2018
In-kind items and services,518588087.96,9284876,55.85,2018
Stock,16396591.89,145,113079.94,2018
Stock option,11001813.96,113,97361.19,2018
NA,0.0,0,,2018
Any other ownership interest,6062330.31,31,195559.04,2019
Cash or cash equivalent,3078899387.97,1595383,1929.88,2019
"Dividend, profit or other return on investment",18099450.14,434,41703.8,2019
In-kind items and services,445985031.02,8771141,50.85,2019
Stock,6949401.03,243,28598.36,2019
Stock option,7601266.87,75,101350.22,2019
NA,0.0,0,,2019
